SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedLawSchoolFTLT,EmployedLawSchoolFTST,EmployedLawSchoolPTLT,EmployedLawSchoolPTST,EmployedLawSchoolNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
PENNSYLVANIA STATE UNIVERSITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,44,Florida,4,New York,4,0
"PENNSYLVANIA, UNIVERSITY OF",230,0,0,1,231,17,0,0,0,17,0,0,0,0,0,0,0,0,1,1,4,0,0,0,4,0,0,0,0,0,3,0,0,2,0,258,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,3,6,0,0,0,6,7,0,0,0,7,25,0,0,0,25,138,0,0,0,138,0,0,0,0,0,20,0,0,1,21,8,0,0,0,8,11,0,0,0,11,29,0,0,0,29,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,2,253,New York,104,Pennsylvania,41,District of Columbia,27,6
PEPPERDINE UNIVERSITY,98,4,4,1,107,19,3,2,2,26,1,1,0,1,3,0,0,0,2,2,2,0,0,14,16,0,0,0,0,0,1,3,4,19,0,181,0,0,0,0,0,2,0,0,14,16,0,0,0,0,0,0,0,0,0,0,2,0,0,14,16,3,0,0,0,3,33,0,2,1,36,12,0,0,1,13,6,0,1,0,7,13,0,0,0,13,3,0,0,0,3,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,22,1,2,3,28,10,3,0,0,13,2,1,1,0,4,5,1,0,0,6,3,1,0,0,4,0,0,0,0,0,2,1,0,15,18,0,0,0,0,0,120,8,6,20,154,California,129,District Of Columbia,4,Texas,3,1
"PITTSBURGH, UNIVERSITY OF",108,9,1,1,119,22,3,3,1,29,3,0,1,0,4,1,2,2,3,8,0,0,0,0,0,0,0,0,0,0,0,2,0,10,3,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,35,0,1,0,36,7,0,0,0,7,4,0,0,0,4,3,0,0,0,3,9,0,0,0,9,5,1,0,0,6,15,2,0,0,17,0,0,0,0,0,25,11,5,4,45,11,0,1,0,12,3,0,0,1,4,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,134,14,7,5,160,Pennsylvania,125,New York,9,California,5,1
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,0,12,0,6,18,0,14,1,4,19,15,12,3,3,33,1,0,2,2,5,0,0,0,0,0,0,0,0,0,0,5,2,9,38,24,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,8,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,12,6,4,27,8,13,0,1,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,2,0,3,8,0,0,0,0,0,16,38,6,15,75,Puerto Rico,70,District Of Columbia,2,Minnesota,1,0
"PUERTO RICO, UNIVERSITY OF",43,5,3,1,52,42,4,7,6,59,15,2,1,1,19,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,6,42,4,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,13,21,2,3,3,29,3,0,0,0,3,3,0,0,1,4,8,1,0,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,34,1,3,2,40,8,0,1,0,9,3,1,0,0,4,0,2,0,0,2,9,0,0,0,9,0,0,0,0,0,3,2,2,1,8,0,0,0,0,0,103,11,11,8,133,Puerto Rico,119,Florida,4,New York,3,2
"RICHMOND, UNIVERSITY OF",95,3,3,1,102,19,1,7,0,27,4,0,1,0,5,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,19,0,2,0,21,7,0,1,0,8,5,0,1,0,6,5,1,0,0,6,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,19,2,3,0,24,20,0,3,1,24,4,0,1,0,5,10,0,0,0,10,20,1,1,0,22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,119,4,14,1,138,Virginia,110,District of Columbia,7,North Carolina,3,2
ROGER WILLIAMS UNIVERSITY,44,1,2,0,47,4,3,1,0,8,4,2,1,1,8,3,0,0,2,5,0,0,0,0,0,0,0,0,2,2,1,0,0,9,6,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,1,0,13,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,4,3,2,16,10,0,0,0,10,2,1,0,0,3,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,55,6,4,5,70,Rhode Island,29,New York,9,Massachusetts,8,0
RUTGERS UNIVERSITY,244,6,2,0,252,24,2,4,2,32,16,0,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,23,3,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,31,9,0,0,0,9,3,0,0,0,3,11,0,0,0,11,5,0,0,0,5,8,0,0,0,8,15,0,0,0,15,0,0,0,0,0,29,2,1,1,33,12,1,0,2,15,5,0,0,0,5,7,0,0,0,7,154,5,0,0,159,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,284,8,8,3,303,New Jersey,238,New York,32,Pennsylvania,17,1
RUTGERS UNIVERSITY-CAMDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Jersey,238,New York,32,Pennsylvania,17,0
